rank,name,puuid,league_points,wins,losses,win_rate
111,Unknown,Tms4djElrIvVrFS8cSn_MVsAnlNR-HEmAGbycLKyNwKpUTJD8EquNJDK9WfdcJ3SE-ge_pJViYYn8w,1035,353,327,51.91
112,Unknown,hpDUj-rOq-KErG_L-eajJ0rY9VV68yB8eqlo0z4S-J4ut5YDx_7tO2eGHZoxHvOJOpRkrSEmSXcxiA,1035,216,140,60.67
113,Unknown,OFTj1B_bHQr4pofSC81ErVcDJmvugHypOG0WkaLtwpng9gPg9fhdnNOd4qBkWsGKczmUhdogE7wNsg,1035,141,108,56.63
114,Unknown,cl3bx8MLCqOk1WHTLJ8LveOiPETG5XVFhn_WowbxkJ2AkYs1g2OTT1yQuwlMxAuNCyEs1V9y4PhReg,1034,282,246,53.41
115,Unknown,2Mmr_OCU2cj0Jm6F4fK9eIouUgHJDtAIx6JmJ0gfVpFoisak4BP6s7ab2qlUawF7vZQhbowlhT5ypg,1033,418,398,51.23
116,Unknown,a24Z-bFDS_qOfEyuF_dvPx_2p45RLLPafeVK1t0uverOKJlycvqf_sa8AlN6tGC_uqVvWyMY5ot6Vw,1032,220,189,53.79
117,Unknown,CCOL9Go1YMKoSird6KSJaOIcGTc0Fggd7yAkyzyOpqoSztTJU8EZfCsmjuqnbuEJQDxRJBnO7CBErQ,1032,206,174,54.21
118,Unknown,sc2VLr99MxuP-Y9IJKxmH5cJ6F0H7gf1ptlDqWqeGrMki3VC95DM2tKW53C0pwM-piUb446zHin7Sw,1030,182,160,53.22
119,Unknown,zOGnoKIr-msZZdRn7maxQQdiMouKWzyWcd6VDS-n-eRDkLWsJeEAJuCwMxAjY7k-V7QFyMrftQgPyw,1026,149,101,59.6
120,Unknown,l9BfB0Ajez4WXN7xq0xW54WqpS3eG2Z25PPrBIEn6yQUFUOpIVSTQ_DA7Yz4GiYJyv_K2WT6eqTPEw,1024,97,62,61.01
121,Unknown,IwE5gbVfwtwIKwQnp8gqKuSlLhd2uD2Gx7ZEsU37re73yogLNAhmkcmVbmztyCju7cm6ueY2VY2PWg,1023,243,227,51.7
122,Unknown,3VFiGnsuPcE3lMGO7m_7cRzS7YDuzyKfBoLCi2yW9uq-1eOFnDN2g8HAVH6U_TdrD2ENZOcWHcmT7g,1022,130,84,60.75
123,Unknown,oGIIYSMXb7rGtKZiyqWMHnLGFPaupevZOBILXAT2FAlxpTctt08kaF5eAA3Qw_KFZOPJPd29JvOmJg,1021,158,133,54.3
124,Unknown,_OHCB149G5vdDBAB6bZ42HKeZ5gFsvsMpp-0S7sDgak3eGO1NTzTyrlGaonQohaxaZNvRUFI38L8AA,1021,122,99,55.2
125,Unknown,pAsTTBCJjgHlXDJmtT1AVCBH7_PVSLhVrgsWM5Zb3t9gza-qxSlEm7__Q43khSa1z2V6CA1MH6mrhw,1020,155,115,57.41
126,Unknown,y4kMgDkh4L9Zp-oxkm3i2ecgYpbF_10R7APvt1qP41tI6O5GCONo1auyYn_11vpvQGZAZ3U5Ny-2qg,1019,90,67,57.32
127,Unknown,7EAiX6Kt9caX6FMScvS5aVnfdKaIAMChQHNjjzKuSBewJbH0a0_pxxaoIZfzSKK91aUy54uppBn4lg,1018,222,202,52.36
128,Unknown,xg_zkFYeS_8rsNwb9c5jky8zCtxSYiwPu9yNQ1yKKC5SdSaV-SPkaJBzQEwCYLaYJztA2TyAk3FsjA,1017,242,214,53.07
129,Unknown,iNXMdsWADPRQSYn_4NMEsP1-ABCv5ng0dHbdlU32109nzms5A9nuuW0pkglVfvybvKFnzFU9VIX3dQ,1017,231,199,53.72
130,Unknown,KmssWAaVzUA7s7L8KXKa4IIDXwftAtLkcH8H32SsFhneZFD8VXf-jK_p1w6MZ75rjR3s7ixjVLA2hA,1016,306,284,51.86
131,Unknown,XwLkuTTENeCWt-wRh0o5mCBj7o_m5eXOMWiFGZc2yTnZXYajfMgGL55prbQoFpjZdj65lZuzg59eLg,1016,178,144,55.28
132,Unknown,Tb-572A_HVeeXrwWpKhADLQCRXWZc8PImMjEhG6c7m1GBM9m9n3OgL3jL6Z919lZXn3TWA_aVu9Pvg,1015,270,247,52.22
133,Unknown,aDnhVZo_SVW-jKSaYGiyY_QW1yed2Fxd_ipkJ_FmE1NW-odFENh1KwQim7RglGg_UT0ySl0iB-Ic7w,1015,205,168,54.96
134,Unknown,FHZASDuakakl2CjfbK3Dd2y2GW_NqT47l6JzIkX5OcLSmhsVKYm7hxMBqA-wBB_QDFZIWih7KP-jCQ,1015,183,150,54.95
135,Unknown,PpG7Z-084xTER8l6ESu39Z8FHNAQ-w7Dhe4CCDCtWBSOmjEiIp0FhxtldGGe6_5MWiIrfsstNeST2Q,1013,201,164,55.07
136,Unknown,8ttX9tS2z2PlK74Pzej9MHsvyq9p-ahAeeuueM2nyBZWRBM2TlC3yFvR--69xOTvPq4t7XcDrJpxDQ,1013,131,84,60.93
137,Unknown,0XzrvM8EJlXWUcNWoU5F3jlnpP-dblraLwraWR9KdpLJykw2InYs96ihB2Z5VxaN1SuwKPPfybzo2w,1011,133,91,59.38
138,Unknown,vDl7kwV_G_UZLJIWAiCjcGo0frVV_N8oj5McsC39B66ru_qfik5RlY9avAN5yWYieyrU7KgyOfvs5w,1010,230,182,55.83
139,Unknown,i-7a5PrWWhBm5JZoPOOVXSBCSx8nl41dZMQyaDNsHHUyzXgSvP89o1h01qbPD3k3UMvUlYbUsKv8_Q,1009,136,109,55.51
140,Unknown,Y-R_FUnw1TTu1i4aCE9iKiHalsmKFvcswdNwc7IOJa0vXdr5wmGgi1QMVzIY9n9m7Fdgw6H-ouc2tQ,1009,122,69,63.87
141,Unknown,nC4KftACd9WylffygdhQkUZc6K9btY-0-HGYMhTw-vZvM-ruzOnJiC1O4dujXQUTr5WJ4DTsxCvt7w,1008,181,148,55.02
142,Unknown,H13AnmsouGrIF428mvO_xZ7tvIf6Q4mPH1A93AOkimLisqJMGHKBwT1KLX_UXttWudU6pJGY6ejMNg,1008,151,113,57.2
143,Unknown,pMEezdAGiS1yQhBpambw60HDYqryg5a4aOfLJxSLvsc4Ywnq6MXyOVzaWZi7nIEu5rtctUBQB4O7kQ,1007,160,127,55.75
144,Unknown,KrvmNeywwo87O9bRuOurRqxtGmdSgzzZ49kDy9HsnbF2xGEfSHvs4q78vtFLI79WUhCV_1N2mU6F6Q,1006,188,164,53.41
145,Unknown,-V5gLCs46uJ0bhg5VDZQxd-p0COQjZb5HLiyJlEJMVAluoB9aT8tbP_DDbp82CFHa37Om3nFe8qRSA,1005,196,157,55.52
146,Unknown,AxnYDJZGTBtGY7tdvqYBb0OftQnGbPLwQ7_2OgI--GRkLgpRTsV33tAMpmCP0vGsEHJvmo8tAMiOgA,1005,139,103,57.44
147,Unknown,KZ_JTZu7CJ52-IfC7xamKPd9-wJMSUsWOxsukZhNDKAR0uyvbruejwom0UyznOLa93j9TlfKH19qdA,1004,272,239,53.23
148,Unknown,1g3hof3NjWDbXR4ygSvbxJyG4na1hzCdBDUlp_LKbQjAIzWNP0OrZ23g9BpH-K7tCKQJxyY97eAZAw,1002,126,82,60.58
